address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
1 Crossgates Mall Rd,maggie-mcflys-albany,"['American New', 'Bars']",https://s3-media1.fl.yelpcdn.com/bphoto/wIe_OizXoRJVgSVyXyRM6g/ls.jpg,Maggie McFlyâs,56.0,$$,3.5,https://www.yelp.com/biz/maggie-mcflys-albany?osq=restaurants
219 Wolf Rd,warehouse-grill-and-bbq-albany,"['Barbeque', 'American Traditional']",https://s3-media4.fl.yelpcdn.com/bphoto/ec4yOb3fRgS6yEKzp1QutA/ls.jpg,Warehouse Grill & BBQ,250.0,$$,3.5,https://www.yelp.com/biz/warehouse-grill-and-bbq-albany?osq=restaurants
217 Western Ave,crave-burgers-frozen-yogurt-albany-2,"['American New', 'Burgers', 'Ice Cream & Frozen Yogurt']",https://s3-media2.fl.yelpcdn.com/bphoto/Yqe_aXarQPwz2Dp8zFQueA/ls.jpg,Crave Burgers + Frozen Yogurt,237.0,$$,4.5,https://www.yelp.com/biz/crave-burgers-frozen-yogurt-albany-2?osq=restaurants
683 Broadway,the-olde-english-albany,"['British', 'Pubs', 'Fish & Chips']",https://s3-media3.fl.yelpcdn.com/bphoto/ke4CenPmVzAHVM6IwSwPYg/ls.jpg,The Olde English,206.0,$$,4.0,https://www.yelp.com/biz/the-olde-english-albany?osq=restaurants
897 Broadway,vintage-house-albany-3,"['Tapas/Small Plates', 'Wine Bars']",https://s3-media4.fl.yelpcdn.com/bphoto/YAkHnLOt6-MXFgDt8n2W9Q/ls.jpg,Vintage House,59.0,$$,4.0,https://www.yelp.com/biz/vintage-house-albany-3?osq=restaurants
305 Central Ave,afghan-kabab-express-albany,"['Halal', 'Afghan', 'Mediterranean']",https://s3-media3.fl.yelpcdn.com/bphoto/CPVjRqVjeIo8iyUApfkOQw/ls.jpg,Afghan Kabab Express,119.0,$,4.5,https://www.yelp.com/biz/afghan-kabab-express-albany?osq=restaurants
370 Delaware Ave,sweet-basil-albany,"['Thai', 'Salad', 'Soup']",https://s3-media3.fl.yelpcdn.com/bphoto/Zb6bCsYZg8odQp-Rur0j0w/ls.jpg,Sweet Basil,221.0,$$,4.0,https://www.yelp.com/biz/sweet-basil-albany?osq=restaurants
1 Crossgates Mall Rd,texas-de-brazil-albany,"['Brazilian', 'Steakhouses', 'Venues & Event Spaces']",https://s3-media1.fl.yelpcdn.com/bphoto/SR3zLDvu6jeKRDLpLMZFBw/ls.jpg,Texas de Brazil,160.0,$$$,4.0,https://www.yelp.com/biz/texas-de-brazil-albany?osq=restaurants
1 Crossgates Mall Rd,skyloft-albany-2,"['American New', 'Music Venues']",https://s3-media1.fl.yelpcdn.com/bphoto/WezZCn1ect9-I5PHcGZ2bw/ls.jpg,Skyloft,13.0,,4.0,https://www.yelp.com/biz/skyloft-albany-2?osq=restaurants
1770 Central Ave,namu-albany,['Korean'],https://s3-media3.fl.yelpcdn.com/bphoto/n_lyxp-djR0JsIj5OHQBxA/ls.jpg,Namu,137.0,$$,3.5,https://www.yelp.com/biz/namu-albany?osq=restaurants
