address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
19 Quackenbush Square,albany-pump-station-at-c-h-evans-brewing-co-albany-2,"['Breweries', 'American (Traditional)']",https://s3-media4.fl.yelpcdn.com/bphoto/ihffVTV5uoqrFioIpfm6Lg/ls.jpg,Albany Pump Station At C H Evans Brewing Co,460.0,$$,3.5,https://www.yelp.com/biz/albany-pump-station-at-c-h-evans-brewing-co-albany-2?osq=beer
54 Philip St,the-excelsior-pub-albany,"['Pubs', 'American (Traditional)']",https://s3-media1.fl.yelpcdn.com/bphoto/pne4hUikJ90EhbDJd2IuNw/ls.jpg,The Excelsior Pub,44.0,$,4.5,https://www.yelp.com/biz/the-excelsior-pub-albany?osq=beer
929 Broadway,nine-pin-cider-albany,"['Breweries', 'Wine Tasting Room']",https://s3-media1.fl.yelpcdn.com/bphoto/tN2Mu_jFJo8dE9iRO4OyJA/ls.jpg,Nine Pin Cider,90.0,$$,4.5,https://www.yelp.com/biz/nine-pin-cider-albany?osq=beer
188 Remsen St,table-41-brewing-company-cohoes,['Breweries'],https://s3-media1.fl.yelpcdn.com/bphoto/H0E-KWbviIKVNg_pKy0YLA/ls.jpg,Table 41 Brewing Company,6.0,$,5.0,https://www.yelp.com/biz/table-41-brewing-company-cohoes?osq=beer
414 Broadway,loch-and-quay-albany,"['Beer Bar', 'American (Traditional)']",https://s3-media2.fl.yelpcdn.com/bphoto/-wWhRdDbdqbDortQuoXaHA/ls.jpg,Loch & Quay,9.0,$$,4.0,https://www.yelp.com/biz/loch-and-quay-albany?osq=beer
151 Lafayette St,great-flats-brewing-schenectady,['Breweries'],https://s3-media2.fl.yelpcdn.com/bphoto/UR-uPFokImr0C9jrQF-ldQ/ls.jpg,Great Flats Brewing,31.0,$$,4.5,https://www.yelp.com/biz/great-flats-brewing-schenectady?osq=beer
472 N Greenbush Rd,emporium-farm-brewery-rensselaer,"['Beer Bar', 'Breweries', 'Wine Bars']",https://s3-media4.fl.yelpcdn.com/bphoto/6IiUTRuUHCRdlAkD71s_aw/ls.jpg,Emporium Farm Brewery,3.0,,4.5,https://www.yelp.com/biz/emporium-farm-brewery-rensselaer?osq=beer
332 S Allen St,the-allen-street-pub-albany,['Pubs'],https://s3-media4.fl.yelpcdn.com/bphoto/50hROXJzfGBh81mVP37ssw/ls.jpg,The Allen Street Pub,10.0,$$,4.5,https://www.yelp.com/biz/the-allen-street-pub-albany?osq=beer
20 Hallwood Rd,the-real-mccoy-beer-co-delmar-2,['Breweries'],https://s3-media4.fl.yelpcdn.com/bphoto/tYgllnng6J0WLMnsiPR8tQ/ls.jpg,The Real McCoy Beer Co,13.0,$$,3.5,https://www.yelp.com/biz/the-real-mccoy-beer-co-delmar-2?osq=beer
185 Old Loudon Rd,tipsy-moose-tap-and-tavern-latham-2,"['Pizza', 'Pubs', 'Breakfast & Brunch']",https://s3-media1.fl.yelpcdn.com/bphoto/_gpPP-JPm0b_6PC6W6PetQ/ls.jpg,Tipsy Moose Tap & Tavern,272.0,$$,4.0,https://www.yelp.com/biz/tipsy-moose-tap-and-tavern-latham-2?osq=beer
200 Broadway,518-craft-troy-3,['Breweries'],https://s3-media3.fl.yelpcdn.com/bphoto/ylh4nkmgv16ks1OT_KWHHQ/ls.jpg,518 Craft,1.0,,5.0,https://www.yelp.com/biz/518-craft-troy-3?osq=beer
683 Broadway,the-olde-english-albany,"['British', 'Pubs', 'Fish & Chips']",https://s3-media3.fl.yelpcdn.com/bphoto/ke4CenPmVzAHVM6IwSwPYg/ls.jpg,The Olde English,206.0,$$,4.0,https://www.yelp.com/biz/the-olde-english-albany?osq=beer
388 Broadway,parish-public-house-albany,"['Cajun/Creole', 'Beer Bar', 'Sandwiches']",https://s3-media1.fl.yelpcdn.com/bphoto/5tsOnZF26SZ0-tUbaoFFNA/ls.jpg,Parish Public House,81.0,$$,3.5,https://www.yelp.com/biz/parish-public-house-albany?osq=beer
1 Crossgates Mall Rd,world-of-beer-albany,"['American (Traditional)', 'Pubs']",https://s3-media2.fl.yelpcdn.com/bphoto/LyoFksuAYypyGv71p_xAgQ/ls.jpg,World of Beer,175.0,$$,2.5,https://www.yelp.com/biz/world-of-beer-albany?osq=beer
108 State St,frog-alley-brewing-schenectady,['Brewpubs'],https://s3-media4.fl.yelpcdn.com/bphoto/7DdmSrJxIg5u4ylTXUzK_A/ls.jpg,Frog Alley Brewing,18.0,,4.0,https://www.yelp.com/biz/frog-alley-brewing-schenectady?osq=beer
