address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
236 Washington Ave,Umana Restaurant And Wine Bar Albany,"['Breakfast & Brunch', 'Ethiopian', 'Vegan']",https://s3-media2.fl.yelpcdn.com/bphoto/lF2XH1CZrP5q_qAGHDdqXg/ls.jpg,Umana Restaurant and Wine Bar,253.0,$$,4.5,https://www.yelp.com/biz/umana-restaurant-and-wine-bar-albany?osq=restaurants
41 State St,Okipoki Albany,"['Japanese', 'Poke', 'Ice Cream & Frozen Yogurt']",https://s3-media3.fl.yelpcdn.com/bphoto/Oyoql1w9oKbRTYBdLCDdGw/ls.jpg,OKIPOKI,24.0,,4.5,https://www.yelp.com/biz/okipoki-albany?osq=restaurants
818 Central Ave,Grappa 72 Ristorante Albany,['Italian'],https://s3-media2.fl.yelpcdn.com/bphoto/4rfIrVNxp7_KxXQklCpHfQ/ls.jpg,Grappa â72 Ristorante,209.0,$$,4.0,https://www.yelp.com/biz/grappa-72-ristorante-albany?osq=restaurants
1116 Madison Ave,Kismet Mediterranean Grill Albany 2,['Mediterranean'],https://s3-media2.fl.yelpcdn.com/bphoto/EU2tx0xh-iQ0puzo41IGew/ls.jpg,Kismet Mediterranean Grill,103.0,$$,4.5,https://www.yelp.com/biz/kismet-mediterranean-grill-albany-2?osq=restaurants
1839 Central Ave,Mazadar Mediterranean Kitchen Albany,"['Mediterranean', 'Afghan', 'Halal']",https://s3-media2.fl.yelpcdn.com/bphoto/F2xwhk2wFNsPX0_5vI1y0g/ls.jpg,Mazadar Mediterranean Kitchen,110.0,$$,4.5,https://www.yelp.com/biz/mazadar-mediterranean-kitchen-albany?osq=restaurants
677 Broadway,Angelos 677 Prime Albany,"['Steakhouses', 'Seafood', 'Venues & Event Spaces']",https://s3-media1.fl.yelpcdn.com/bphoto/NyKA8KJXedym-oTxEHFQUA/ls.jpg,Angelo's 677 Prime,210.0,$$$$,4.0,https://www.yelp.com/biz/angelos-677-prime-albany?osq=restaurants
218 Central Ave,Taiwan Noodle Albany,"['Taiwanese', 'Dim Sum', 'Noodles']",https://s3-media3.fl.yelpcdn.com/bphoto/aZZeenaCQOVMkdKmruLpRw/ls.jpg,Taiwan Noodle,331.0,$,4.0,https://www.yelp.com/biz/taiwan-noodle-albany?osq=restaurants
59 Wolf Rd,The Boil Shack Albany,"['Seafood', 'Cajun/Creole']",https://s3-media1.fl.yelpcdn.com/bphoto/Bj9MIi6_XLPywTHPHbMqsQ/ls.jpg,The Boil Shack,75.0,$$,3.5,https://www.yelp.com/biz/the-boil-shack-albany?osq=restaurants
1100 Madison Ave,Madison Pour House Albany,"['American New', 'Pubs']",https://s3-media3.fl.yelpcdn.com/bphoto/_q42sc4Zl8TCjfb0jkeCnQ/ls.jpg,Madison Pour House,125.0,$$,4.5,https://www.yelp.com/biz/madison-pour-house-albany?osq=restaurants
942 Broadway,Lost And Found Albany,"['American New', 'Pubs', 'Beer Gardens']",https://s3-media1.fl.yelpcdn.com/bphoto/6sjQSqI-cgZfy72MjfMiCA/ls.jpg,Lost & Found,55.0,$$,4.5,https://www.yelp.com/biz/lost-and-found-albany?osq=restaurants
227 Lark St,Berben And Wolffs Albany,"['Vegan', 'Vegetarian', 'Sandwiches']",https://s3-media3.fl.yelpcdn.com/bphoto/471TxUQRa1fobBVxoxTqKw/ls.jpg,Berben and Wolff's,177.0,$$,4.5,https://www.yelp.com/biz/berben-and-wolffs-albany?osq=restaurants
49 Grand St,Cafe Capriccio Albany,['Italian'],https://s3-media4.fl.yelpcdn.com/bphoto/xl-xQGkSEh8qc3seSuLPVg/ls.jpg,Cafe Capriccio,132.0,$$$,4.0,https://www.yelp.com/biz/cafe-capriccio-albany?osq=restaurants
8 Wolf Rd,Hong Kong Bakery And Bistro Albany,"['Dim Sum', 'Cantonese', 'Bakeries']",https://s3-media1.fl.yelpcdn.com/bphoto/kiPTCfVMDB_tvUT4TMPIZQ/ls.jpg,Hong Kong Bakery & Bistro,301.0,$$,4.0,https://www.yelp.com/biz/hong-kong-bakery-and-bistro-albany?osq=restaurants
1343 Central Ave,Tengu Asian Bistro Albany 2,"['Japanese', 'Thai', 'Asian Fusion']",https://s3-media1.fl.yelpcdn.com/bphoto/SRqogq15urwfwLZ7u82tTg/ls.jpg,Tengu Asian Bistro,78.0,$$,4.5,https://www.yelp.com/biz/tengu-asian-bistro-albany-2?osq=restaurants
1814 Western Ave,Athos Restaurant Albany,"['Greek', 'Mediterranean', 'Seafood']",https://s3-media4.fl.yelpcdn.com/bphoto/FPlMTDd0Wd7kuPDHwpjVMg/ls.jpg,Athos Restaurant,195.0,$$,4.0,https://www.yelp.com/biz/athos-restaurant-albany?osq=restaurants
